module_id,label_damaged,process_anomaly_score,process_anomaly_max_z,process_anomaly_feature_count_z_ge_2,chip_count,abnormal_chip_count,abnormal_chip_ratio,damage_source,top_anomaly_features
E3003161ABV40298001001K21200697,1,2430.0,10.0,326,18,1,0.05555555555555555,"chip_row=11,location=V,position=4",module_常温动态_PAR_DirrDt_1000A_UH_477:70.82; module_高温动态_PAR_DvDt_on_600A_WH_827:61.72; module_常温动态_PAR_DiDt_off_1200A_WL_946:26.98; module_常温动态_PAR_tF_50A_UH_32:24.03; module_常温动态_PAR_DvDt_off_50A_WH_295:19.61; module_常温动态_PAR_EON_200A_UL_515:17.27; module_常温动态_PAR_DvDt_off_400A_VL_736:14.83; module_常温动态_PAR_EON_75A_WH_284:14.32
E3003161ABV40298001001K21800896,1,2144.7642,10.0,269,18,1,0.05555555555555555,"chip_row=52,location=W,position=3",module_高温动态_PAR_DiFDt_75A_UH_75:89.93; module_常温动态_PAR_Ic_peak_W_H_1021:30.10; module_高温动态_PAR_DiDt_off_800A_VH_644:23.64; module_高温动态_PAR_DiFDt_75A_UL_137:20.91; module_常温动态_PAR_QRR_50A_UH_62:19.34; module_高温动态_PAR_DiDt_on_50A_WL_348:15.06; module_高温动态_PAR_EOFF_75A_VL_231:13.09; module_高温动态_PAR_tF_200A_UL_510:11.33
E3003161ABV40298001001K21201308,1,2030.0,10.0,246,18,1,0.05555555555555555,"chip_row=20,location=U,position=1",module_高温动态_PAR_DirrDt_50A_WL_381:58.13; module_高温动态_PAR_DiFDt_800A_VL_781:24.95; module_高温动态_PAR_DiFDt_100A_WH_324:20.04; module_高温动态_PAR_tF_50A_VL_218:18.94; module_高温动态_PAR_DiDt_off_150A_WH_302:17.82; module_常温动态_PAR_tF_100A_VH_158:17.76; module_高温动态_PAR_DvDt_off_75A_UH_48:16.18; module_高温动态_PAR_TRR_50A_WH_307:14.16
E3003161ABV40298001001K22002764,1,1995.0,10.0,239,18,1,0.05555555555555555,"chip_row=56,location=U,position=1",module_常温动态_PAR_tF_75A_WL_343:46.54; module_常温动态_PAR_DiFDt_600A_UL_580:26.31; module_常温动态_PAR_tF_75A_WH_281:20.52; module_高温动态_PAR_DiDt_on_800A_UL_523:20.27; module_常温动态_PAR_DirrDt_400A_WL_974:16.26; module_常温动态_PAR_tF_75A_VL_219:16.24; module_高温动态_PAR_tF_200A_UH_410:14.16; module_常温动态_PAR_QRR_600A_UH_460:12.83
