SN_ID,DBC_LOCATION,芯片位置,side,bridge_group,label_bad,IGE4_30,IGE5_R30,VCE5_200,BVCE3_1m,ICES7_1330,RG,VTH5_10m,bridge_anomaly_score,chip_relative_score,chip_raw_outlier_score,risk_score,risk_rank_in_module,bridge_abs_z_q75,bridge_abs_z_max,bridge_feature_count,bridge_top_feature,chip_relative_abs_z_q75,chip_relative_abs_z_max,chip_raw_abs_z_q75,chip_raw_abs_z_max,chip_top_metric,chip_top_metric_score,BVCE3_1m_bridge_abs_z,BVCE3_1m_bridge_rank,BVCE3_1m_dbc_abs_z,BVCE3_1m_module_abs_z,ICES7_1330_bridge_abs_z,ICES7_1330_bridge_rank,ICES7_1330_dbc_abs_z,ICES7_1330_module_abs_z,IGE4_30_bridge_abs_z,IGE4_30_bridge_rank,IGE4_30_dbc_abs_z,IGE4_30_module_abs_z,IGE5_R30_bridge_abs_z,IGE5_R30_bridge_rank,IGE5_R30_dbc_abs_z,IGE5_R30_module_abs_z,RG_bridge_abs_z,RG_bridge_rank,RG_dbc_abs_z,RG_module_abs_z,VCE5_200_bridge_abs_z,VCE5_200_bridge_rank,VCE5_200_dbc_abs_z,VCE5_200_module_abs_z,VTH5_10m_bridge_abs_z,VTH5_10m_bridge_rank,VTH5_10m_dbc_abs_z,VTH5_10m_module_abs_z
E3003161ABV40298001001K21200697,U,5,L,U_L,0,3.026,-8.484,1.534,1350.338,94.357,2.465,5.646,0.8,0.6715006698354417,0.5969537457176037,0.7218706759977092,1,3.3724537973829687,120.73051815497465,408.0,高温静态|Delta_IDSS|PAR:Delta_IDSS_1_U_L_43,2.485612695560823,20.100067133445393,4.107485541964202,6.424810285183863,BVCE3_1m,20.100067133445393,43.86598832164083,1.0,1.214262991760913,0.189355469222636,0.0,14.0,0.805242104946024,0.12378786312054434,0.0,14.0,0.6744907594765952,0.7872895554300189,0.0,13.0,0.4049708863250862,0.6744907594765952,1.3489815189532504,2.0,0.9982463240253863,0.11629151025460212,2.1213203435596424,2.0,6.295247088447989,5.17109582265373,0.0,13.0,0.16862268986920498,0.04817791139120371
E3003161ABV40298001001K21200697,W,5,L,W_L,0,2.977,-13.607,1.547,1348.079,94.65,2.498,5.663,0.8,0.49292064375475864,0.5960815450458781,0.6414224441942292,2,3.3890093439865456,177.91567366637514,408.0,常温动态|EON-1000A|PAR:EON-1000A_WL_919,1.8098326041558057,7.245575713332829,3.870135507369353,7.179325372055998,BVCE3_1m,7.245575713332829,15.156204124713222,2.0,0.6546527959625706,0.8720688607374538,2.8334140510799384,1.0,0.4973548920193198,0.07252306609677082,4.026296880549069,2.0,0.7374096736068738,0.6744907594765952,0.0,18.0,0.7075806959294123,3.15422520816728,0.0,18.0,0.7184792872685485,1.4187564251059228,1.34898151895334,4.0,0.6744907594765454,0.6744907594764954,0.0,18.0,0.7387279746648356,0.86720240504141
E3003161ABV40298001001K21200697,V,4,L,V_L,1,2.879,-9.118,1.546,1354.219,111.142,2.445,5.631,0.8,0.4506505248754831,0.6057622524813557,0.623368961442103,3,3.266534179074048,755.5394283497584,408.0,高温静态|DC_IDSS|PAR:DC_IDSS_1320V_V_L_117,2.108790949565363,4.150153272210964,4.43165226430511,5.96752841435227,RG,4.150153272210964,1.2745334311591472,6.0,0.9383093017357428,2.012900322952239,2.7622524954622194,2.0,2.8747200687470436,2.8130026421491463,0.6744907594765952,10.0,0.5511696877812472,0.44889316756974773,0.0,16.0,0.9263466440893374,0.20066567193292578,6.74490759476685,1.0,3.2038311075139956,1.0466235922912746,0.6744907594765952,9.0,1.0117361392149302,0.2248302531588318,1.3489815189543886,4.0,0.6744907594765952,0.6744907594765952
E3003161ABV40298001001K21200697,W,1,H,W_H,0,2.635,-9.899,1.533,1349.879,88.209,2.44,5.693,0.8,0.3653819603346323,0.5959834370899684,0.5840202258595815,4,4.2418277130475035,157.83083771761073,408.0,常温动态|EON-75A|PAR:EON-75A_WH_284,1.1326027151867035,4.077858716668954,4.196767983365572,6.180021583704298,VCE5_200,4.077858716668954,0.0,17.0,0.11768536250042151,0.026312422522269643,0.9459371935656437,4.0,0.4973548920193198,1.1994737747319861,0.6744907594765952,11.0,0.12332107169534857,0.11279879595342475,0.6744907594765969,6.0,0.9732067611533942,0.38302106840083616,0.6744907594765952,11.0,0.9824104540202551,1.2792066128004373,2.192094968298953,1.0,5.62075632897191,5.620756328971494,0.7588021044111228,6.0,1.1883884809825467,2.312539746777008
E3003161ABV40298001001K21200697,U,1,H,U_H,0,2.977,-8.679,1.55,1347.094,91.966,2.515,5.638,0.8,0.3566758358059172,0.6138700561052935,0.5818911317231922,5,2.6265444525677815,768.9194658051038,408.0,常温动态|Energy|PAR:Energy_U_H_1003,1.590220802392383,2.1622421022623057,4.2101614016711135,7.56801496226285,BVCE3_1m,2.1622421022623057,2.971031125231315,3.0,1.6992496896533165,1.3348855783162832,0.6744907594765952,7.0,0.13075134546942685,0.5421296026558347,2.121320343559643,4.0,0.5777117046761469,0.6744907594765952,0.6744907594765952,7.0,0.9440106326281041,0.5287559139387157,0.778258568626853,5.0,1.6997167138810183,2.209538694837089,2.023472278430085,3.0,0.899321012635427,2.023472278429686,0.0,11.0,1.1803588290839855,0.3372453797382976
E3003161ABV40298001001K21200697,V,3,H,V_H,0,3.27,-9.509,1.544,1353.232,106.458,2.454,5.631,0.8,0.3524753383444375,0.5949804012004493,0.5781119423750418,6,3.012216482470653,73.64212746651859,408.0,高温动态|IC_PEAK|PAR:IC_PEAK_OFF_75A_VH_202,1.4265211796662225,2.7025394258647575,4.101994905610924,6.173305256226494,IGE4_30,2.7025394258647575,0.6744907594765952,9.0,0.5449725929596984,1.5491438759975302,2.0578525220815016,3.0,1.6978473857936582,1.9934657504790108,4.253421319964657,1.0,1.5352215047788171,1.3489815189531913,0.0,15.0,0.4226348748638529,0.09155137732507841,0.0,15.0,0.16862268986920498,0.6279741553747564,0.0,15.0,0.3372453797382602,0.6744907594765952,0.0,15.0,0.6744907594765952,0.6744907594765952
E3003161ABV40298001001K21200697,U,4,L,U_L,0,2.392,-7.313,1.549,1348.517,98.602,2.48,5.646,0.8,0.3295519329269975,0.6231884430863693,0.5706172141257859,7,3.3724537973829687,120.73051815497465,408.0,高温静态|Delta_IDSS|PAR:Delta_IDSS_1_U_L_43,1.3693999152451508,2.1274962863387534,4.705715330087072,6.76777168830756,IGE5_R30,2.1274962863387534,0.0,14.0,0.42121992835474587,0.6662681274383726,0.8629334761838914,6.0,2.0027382463003325,0.6189393156027118,2.928953024028495,3.0,0.5777117046761469,0.672188743232649,2.121320343559643,2.0,2.832031897884315,1.549647190886117,0.6744907594765952,8.0,0.18885741265346245,0.5814575512729073,0.0,13.0,0.4496605063176636,1.5738117721119225,0.0,12.0,0.16862268986920498,0.04817791139120371
E3003161ABV40298001001K21200697,W,6,L,W_L,0,2.294,-14.486,1.544,1354.463,95.675,2.519,5.655,0.8,0.31116157774249675,0.6338461855191453,0.5634073285360381,8,3.3890093439865456,177.91567366637514,408.0,常温动态|EON-1000A|PAR:EON-1000A_WL_919,1.305007501688392,1.723717401033696,4.765959165413951,7.659471336429168,IGE5_R30,1.723717401033696,0.6744907594765952,12.0,1.2497917013832374,2.1275473067991486,0.0,18.0,0.6556498040888117,0.10681624089765326,0.6744907594765953,7.0,0.9815350604323589,0.8977863351394965,0.6752589721867062,5.0,1.1060197937653855,3.8111530503611064,0.6744907594765952,12.0,1.3343186763558683,2.3956051112444237,0.6744907594765952,11.0,0.6744907594766452,0.6744907594765952,0.6744907594765952,10.0,1.2526256961708158,0.48177911391190875
E3003161ABV40298001001K21200697,V,2,H,V_H,0,2.343,-9.411,1.545,1349.549,100.652,2.458,5.626,0.8,0.29783504040319086,0.6248057239911528,0.5565063405805513,9,3.012216482470653,73.64212746651859,408.0,高温动态|IC_PEAK|PAR:IC_PEAK_OFF_75A_VH_202,1.1558060253209208,1.9036990090078934,4.778931786859811,6.672399838122212,VTH5_10m,1.9036990090078934,2.204013837455193,4.0,0.9227671217536263,0.18136776952835648,0.0,15.0,0.2390679670858543,0.9776179295915624,0.0,15.0,0.7978118311719432,0.7849875391860728,0.6744907594765952,8.0,0.08452697497276936,0.018310275465015416,1.3489815189530407,3.0,1.1803588290839855,0.44190773896742197,0.6744907594765952,8.0,0.3372453797382602,0.22483025315893163,2.121320343559643,2.0,2.6979630379051827,0.9153803164325282
E3003161ABV40298001001K21200697,V,1,H,V_H,0,2.196,-9.997,1.543,1352.369,98.749,2.452,5.631,0.8,0.27895030676772276,0.6217796093861082,0.5477055989840861,10,3.012216482470653,73.64212746651859,408.0,高温动态|IC_PEAK|PAR:IC_PEAK_OFF_75A_VH_202,0.9130900188747215,2.1748571102816907,4.611149688664987,6.92027519222986,IGE5_R30,2.1748571102816907,0.0,15.0,0.20105204617781278,1.1436506503421024,0.6744907594765952,9.0,0.23906796708585787,0.6446591967033741,0.6744907594765952,9.0,1.1677750462579857,1.123383927046344,3.3586886798426083,1.0,2.106274213096989,0.45626217026089916,0.6744907594765952,9.0,0.8431134493458751,0.721007363578434,0.674490759476745,6.0,1.0117361392149302,1.1241512657943586,0.0,14.0,0.6744907594765952,0.6744907594765952
