SN_ID,DBC_LOCATION,芯片位置,bridge_group,label_bad,screening_score,screening_rank_in_module,risk_score,risk_rank_in_module,global_consistency_pct,IGE4_30_high_pct,IGE5_R30_high_pct,ICES7_1330_high_pct,chip_raw_outlier_score,IGE4_30,IGE5_R30,ICES7_1330
E3003161ABV40298001001K21200697,V,3,V_H,0,0.8088235294117647,1,0.5781119423750418,6,0.8823529411764706,1.0,0.4117647058823529,0.9411764705882353,0.5949804012004493,3.27,-9.509,106.458
E3003161ABV40298001001K21200697,U,6,U_L,0,0.75,2,0.5208090498069464,15,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.29411764705882354,0.5948948457078181,3.172,-8.484,91.039
E3003161ABV40298001001K21200697,V,4,V_L,1,0.7058823529411765,3,0.623368961442103,3,0.5882352941176471,0.6470588235294118,0.5882352941176471,1.0,0.6057622524813557,2.879,-9.118,111.142
E3003161ABV40298001001K21200697,U,5,U_L,0,0.6911764705882353,4,0.7218706759977092,1,0.7058823529411765,0.8823529411764706,0.7647058823529411,0.4117647058823529,0.5969537457176037,3.026,-8.484,94.357
E3003161ABV40298001001K21200697,V,5,V_L,0,0.6176470588235294,5,0.5047450468329266,18,0.5294117647058824,0.5882352941176471,0.6470588235294118,0.7058823529411765,0.6126445174962561,2.782,-8.923,98.553
E3003161ABV40298001001K21200697,U,1,U_H,0,0.573529411764706,6,0.5818911317231922,5,0.47058823529411764,0.7647058823529411,0.7058823529411765,0.35294117647058826,0.6138700561052935,2.977,-8.679,91.966
E3003161ABV40298001001K21200697,U,4,U_L,0,0.5735294117647058,7,0.5706172141257859,7,0.23529411764705882,0.29411764705882354,1.0,0.7647058823529411,0.6231884430863693,2.392,-7.313,98.602
E3003161ABV40298001001K21200697,W,5,W_L,0,0.5294117647058824,8,0.6414224441942292,2,0.7647058823529411,0.8235294117647058,0.058823529411764705,0.47058823529411764,0.5960815450458781,2.977,-13.607,94.65
E3003161ABV40298001001K21200697,W,2,W_H,0,0.4852941176470589,9,0.5413666784125565,12,1.0,0.7058823529411765,0.23529411764705882,0.0,0.590891011924194,2.928,-10.631,80.353
E3003161ABV40298001001K21200697,V,6,V_L,0,0.47058823529411764,10,0.520124776032925,16,0.4117647058823529,0.4117647058823529,0.5294117647058824,0.5294117647058824,0.6186937446740719,2.538,-9.362,95.479
E3003161ABV40298001001K21200697,W,1,W_H,0,0.45588235294117646,11,0.5840202258595815,4,0.8235294117647058,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.5959834370899684,2.635,-9.899,88.209
E3003161ABV40298001001K21200697,V,2,V_H,0,0.4411764705882353,12,0.5565063405805513,9,0.17647058823529413,0.23529411764705882,0.47058823529411764,0.8823529411764706,0.6248057239911528,2.343,-9.411,100.652
E3003161ABV40298001001K21200697,U,3,U_H,0,0.36764705882352944,13,0.5426457324561066,11,0.11764705882352941,0.17647058823529413,0.9411764705882353,0.23529411764705882,0.6256026632902639,2.343,-7.655,89.575
E3003161ABV40298001001K21200697,W,4,W_L,0,0.36764705882352944,14,0.5243504013971216,14,0.35294117647058826,0.35294117647058826,0.11764705882352941,0.6470588235294118,0.6202691764903113,2.392,-12.729,95.919
E3003161ABV40298001001K21200697,W,3,W_H,0,0.35294117647058826,15,0.5290628086747887,13,0.6470588235294118,0.5294117647058824,0.17647058823529413,0.058823529411764705,0.6015345372342698,2.733,-11.363,83.623
E3003161ABV40298001001K21200697,V,1,V_H,0,0.3529411764705882,16,0.5477055989840861,10,0.29411764705882354,0.0,0.29411764705882354,0.8235294117647058,0.6217796093861082,2.196,-9.997,98.749
E3003161ABV40298001001K21200697,U,2,U_H,0,0.29411764705882354,17,0.5172835448606504,17,0.058823529411764705,0.11764705882352941,0.8823529411764706,0.11764705882352941,0.6297885108898983,2.343,-8.191,86.501
E3003161ABV40298001001K21200697,W,6,W_L,0,0.16176470588235295,18,0.5634073285360381,8,0.0,0.058823529411764705,0.0,0.5882352941176471,0.6338461855191453,2.294,-14.486,95.675
E3003161ABV40298001001K21201308,U,1,U_H,1,0.9264705882352942,1,0.5307549536245509,12,1.0,0.9411764705882353,1.0,0.7647058823529411,0.5112250458149122,3.27,-4.093,44.441
E3003161ABV40298001001K21201308,V,4,V_L,0,0.7352941176470588,2,0.617085244552038,2,0.9411764705882353,1.0,0.5882352941176471,0.4117647058823529,0.5122038756296539,3.319,-5.069,42.05
E3003161ABV40298001001K21201308,U,5,U_L,0,0.6617647058823529,3,0.5572110772458709,8,0.7647058823529411,0.7058823529411765,0.5294117647058824,0.6470588235294118,0.5186210407550942,2.879,-5.41,43.319
E3003161ABV40298001001K21201308,U,2,U_H,0,0.6470588235294118,4,0.49009168878899073,18,0.5882352941176471,0.8823529411764706,0.8823529411764706,0.23529411764705882,0.5215733111175158,3.026,-4.288,41.318
E3003161ABV40298001001K21201308,W,2,W_H,0,0.6323529411764706,5,0.5181244951882641,16,0.8235294117647058,0.47058823529411764,0.29411764705882354,0.9411764705882353,0.516684088843328,2.684,-7.069,45.71
E3003161ABV40298001001K21201308,U,3,U_H,0,0.5147058823529411,6,0.5961990573064238,3,0.11764705882352941,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.5363631132156471,2.928,-4.727,43.221
E3003161ABV40298001001K21201308,W,6,W_L,0,0.5,7,0.5206143509687574,15,0.7058823529411765,0.4117647058823529,0.17647058823529413,0.7058823529411765,0.5190773125854199,2.635,-7.655,43.612
E3003161ABV40298001001K21201308,W,1,W_H,0,0.49999999999999994,8,0.579290462712131,6,0.47058823529411764,0.8235294117647058,0.4117647058823529,0.29411764705882354,0.5244006826955705,2.977,-5.898,41.855
E3003161ABV40298001001K21201308,V,5,V_L,0,0.47058823529411764,9,0.5586030158700175,7,0.29411764705882354,0.29411764705882354,0.9411764705882353,0.35294117647058826,0.5313231103556155,2.635,-4.239,42.002
E3003161ABV40298001001K21201308,U,6,U_L,0,0.45588235294117646,10,0.5286345260711727,13,0.35294117647058826,0.5294117647058824,0.8235294117647058,0.11764705882352941,0.529403102428979,2.733,-4.337,40.294
E3003161ABV40298001001K21201308,V,1,V_H,0,0.4411764705882353,11,0.5547267802411664,10,0.5294117647058824,0.17647058823529413,0.23529411764705882,0.8235294117647058,0.5224241815631142,2.538,-7.118,45.271
E3003161ABV40298001001K21201308,W,5,W_L,0,0.4264705882352941,12,0.5366955183460939,11,0.4117647058823529,0.35294117647058826,0.058823529411764705,0.8823529411764706,0.527428163196386,2.635,-9.021,45.612
E3003161ABV40298001001K21201308,U,4,U_L,0,0.4117647058823529,13,0.5932573729010989,4,0.23529411764705882,0.058823529411764705,0.35294117647058826,1.0,0.534163386100607,2.343,-7.02,50.833
E3003161ABV40298001001K21201308,W,4,W_L,0,0.3823529411764706,14,0.5556770894247773,9,0.8823529411764706,0.5882352941176471,0.0,0.058823529411764705,0.5153478400691309,2.782,-9.362,39.22
E3003161ABV40298001001K21201308,W,3,W_H,0,0.36764705882352944,15,0.5159434924855488,17,0.6470588235294118,0.11764705882352941,0.11764705882352941,0.5882352941176471,0.5208036327940757,2.489,-8.533,43.27
E3003161ABV40298001001K21201308,V,2,V_H,0,0.3235294117647059,16,0.5825838177885583,5,0.0,0.6470588235294118,0.47058823529411764,0.17647058823529413,0.5422285645785446,2.831,-5.508,41.172
E3003161ABV40298001001K21201308,V,3,V_H,0,0.3088235294117647,17,0.5238272830211701,14,0.058823529411764705,0.0,0.7058823529411765,0.47058823529411764,0.539961538179754,2.245,-4.678,42.831
E3003161ABV40298001001K21201308,V,6,V_L,0,0.2941176470588235,18,0.7121458245209812,1,0.17647058823529413,0.23529411764705882,0.7647058823529411,0.0,0.5362898715336802,2.538,-4.678,38.586
E3003161ABV40298001001K21800896,W,4,W_L,0,0.7205882352941176,1,0.5600254842313841,6,0.9411764705882353,0.8823529411764706,0.47058823529411764,0.5882352941176471,0.5818668177765941,6.5,-35.7,151.0
E3003161ABV40298001001K21800896,W,5,W_L,0,0.6617647058823529,2,0.5019469015346987,14,0.8235294117647058,0.9411764705882353,0.17647058823529413,0.7058823529411765,0.5918372693265866,6.6,-36.9,153.0
E3003161ABV40298001001K21800896,W,3,W_H,1,0.6470588235294118,3,0.5074407134047647,12,0.8823529411764706,0.8235294117647058,0.5294117647058824,0.35294117647058826,0.5860500153030095,6.5,-34.4,145.0
E3003161ABV40298001001K21800896,W,6,W_L,0,0.6323529411764706,4,0.4848889329101478,17,0.7647058823529411,1.0,0.11764705882352941,0.6470588235294118,0.5922605911014981,6.6,-37.1,152.0
E3003161ABV40298001001K21800896,W,2,W_H,0,0.6029411764705882,5,0.5088749179138817,11,1.0,0.5294117647058824,0.7058823529411765,0.17647058823529413,0.5716344646332526,6.3,-32.2,138.0
E3003161ABV40298001001K21800896,W,1,W_H,0,0.5882352941176471,6,0.5700391741709947,5,0.5882352941176471,0.47058823529411764,0.8235294117647058,0.47058823529411764,0.6009173721540471,6.3,-30.0,147.0
E3003161ABV40298001001K21800896,V,2,V_H,0,0.5147058823529411,7,0.4790334649820804,18,0.17647058823529413,0.7647058823529411,0.35294117647058826,0.7647058823529411,0.6155438437894465,6.5,-36.0,154.0
E3003161ABV40298001001K21800896,V,3,V_H,0,0.5147058823529411,8,0.6375881132154977,2,0.058823529411764705,0.5882352941176471,0.4117647058823529,1.0,0.6545552068919053,6.4,-35.7,167.0
E3003161ABV40298001001K21800896,U,1,U_H,0,0.4852941176470588,9,0.5582560421270347,7,0.7058823529411765,0.29411764705882354,0.6470588235294118,0.29411764705882354,0.5959982994430701,6.3,-32.2,143.0
E3003161ABV40298001001K21800896,V,6,V_L,0,0.4852941176470588,10,0.4995350191983706,15,0.23529411764705882,0.6470588235294118,0.23529411764705882,0.8235294117647058,0.6136299858504843,6.4,-36.5,155.0
E3003161ABV40298001001K21800896,U,2,U_H,0,0.48529411764705876,11,0.5028380652931896,13,0.47058823529411764,0.17647058823529413,0.8823529411764706,0.4117647058823529,0.606910334163587,6.2,-28.9,147.0
E3003161ABV40298001001K21800896,U,6,U_L,0,0.4558823529411765,12,0.5447031021329399,8,0.6470588235294118,0.35294117647058826,0.5882352941176471,0.23529411764705882,0.6001346699196588,6.3,-33.3,142.0
E3003161ABV40298001001K21800896,V,1,V_H,0,0.3970588235294118,13,0.5422173479046721,9,0.29411764705882354,0.7058823529411765,0.058823529411764705,0.5294117647058824,0.6118091258060937,6.5,-37.2,150.0
E3003161ABV40298001001K21800896,V,5,V_L,0,0.39705882352941174,14,0.5391721180463157,10,0.11764705882352941,0.23529411764705882,0.29411764705882354,0.9411764705882353,0.6357065297011315,6.2,-36.2,162.0
E3003161ABV40298001001K21800896,U,5,U_L,0,0.38235294117647056,15,0.49634935437116984,16,0.5294117647058824,0.11764705882352941,0.7647058823529411,0.11764705882352941,0.603148280179145,6.1,-30.0,136.0
E3003161ABV40298001001K21800896,U,3,U_H,0,0.3676470588235294,16,0.5916633321244276,3,0.4117647058823529,0.0,1.0,0.058823529411764705,0.6077045361333565,6.0,-28.1,128.0
E3003161ABV40298001001K21800896,U,4,U_L,0,0.3382352941176471,17,0.581558778434832,4,0.35294117647058826,0.058823529411764705,0.9411764705882353,0.0,0.6117726259767692,6.0,-28.2,126.0
E3003161ABV40298001001K21800896,V,4,V_L,0,0.32352941176470584,18,0.6549270681569787,1,0.0,0.4117647058823529,0.0,0.8823529411764706,0.6573383488442546,6.3,-38.1,157.0
E3003161ABV40298001001K22002764,U,4,U_L,0,0.7205882352941176,1,0.5085141259935972,15,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.23529411764705882,0.5594981033167132,6.8,-35.0,74.0
E3003161ABV40298001001K22002764,U,1,U_H,1,0.6323529411764706,2,0.5202511275827765,13,0.8235294117647058,0.7058823529411765,0.7058823529411765,0.29411764705882354,0.5720634601958385,6.8,-38.3,75.0
E3003161ABV40298001001K22002764,U,3,U_H,0,0.6323529411764706,3,0.5460640225639578,6,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.11764705882352941,0.57405751696013,6.8,-36.5,71.0
E3003161ABV40298001001K22002764,U,2,U_H,0,0.6029411764705882,4,0.5348690637242353,9,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.17647058823529413,0.5863346938608108,6.8,-37.6,74.0
E3003161ABV40298001001K22002764,U,5,U_L,0,0.6029411764705881,5,0.5368422940872861,8,1.0,0.4117647058823529,0.9411764705882353,0.058823529411764705,0.5360891565808057,6.7,-33.2,70.0
E3003161ABV40298001001K22002764,V,6,V_L,0,0.5735294117647058,6,0.5749012711121775,4,0.47058823529411764,0.47058823529411764,0.35294117647058826,1.0,0.6171590053734739,6.7,-40.3,97.0
E3003161ABV40298001001K22002764,V,1,V_H,0,0.5588235294117647,7,0.5201208439737274,14,0.6470588235294118,0.23529411764705882,0.4117647058823529,0.9411764705882353,0.6043174969755973,6.6,-39.5,92.0
E3003161ABV40298001001K22002764,U,6,U_L,0,0.5294117647058824,8,0.6079319758727209,1,0.9411764705882353,0.17647058823529413,1.0,0.0,0.5464120786208313,6.6,-31.4,64.0
E3003161ABV40298001001K22002764,V,2,V_H,0,0.5,9,0.4946544864312249,16,0.5882352941176471,0.058823529411764705,0.6470588235294118,0.7058823529411765,0.61264384163068,6.5,-38.4,85.0
E3003161ABV40298001001K22002764,V,5,V_L,0,0.5,10,0.4911243911602122,18,0.4117647058823529,0.29411764705882354,0.5294117647058824,0.7647058823529411,0.6184584374828181,6.6,-39.4,85.0
E3003161ABV40298001001K22002764,W,1,W_H,0,0.4852941176470589,11,0.5936210561462218,3,0.23529411764705882,0.9411764705882353,0.29411764705882354,0.47058823529411764,0.623019070408024,6.8,-43.0,80.0
E3003161ABV40298001001K22002764,W,2,W_H,0,0.4411764705882353,12,0.4927195333817227,17,0.0,1.0,0.17647058823529413,0.5882352941176471,0.6363741740559353,6.8,-44.5,82.0
E3003161ABV40298001001K22002764,W,6,W_L,0,0.42647058823529416,13,0.5436526015059534,7,0.29411764705882354,0.6470588235294118,0.23529411764705882,0.5294117647058824,0.6221765570889543,6.7,-44.3,80.0
E3003161ABV40298001001K22002764,V,4,V_L,0,0.38235294117647056,14,0.5239012258538618,11,0.5294117647058824,0.11764705882352941,0.47058823529411764,0.4117647058823529,0.6147112084694181,6.5,-39.5,77.0
E3003161ABV40298001001K22002764,W,3,W_H,0,0.38235294117647056,15,0.5219365726139786,12,0.11764705882352941,0.5294117647058824,0.058823529411764705,0.8235294117647058,0.6306859092750604,6.7,-45.7,85.0
E3003161ABV40298001001K22002764,W,4,W_L,0,0.38235294117647056,16,0.5275616023866873,10,0.058823529411764705,0.5882352941176471,0.0,0.8823529411764706,0.6351683573531206,6.7,-46.1,85.0
E3003161ABV40298001001K22002764,W,5,W_L,0,0.36764705882352944,17,0.5563065532501781,5,0.35294117647058826,0.35294117647058826,0.11764705882352941,0.6470588235294118,0.6219610198251936,6.6,-45.6,84.0
E3003161ABV40298001001K22002764,V,3,V_H,0,0.27941176470588236,18,0.6057548231007156,2,0.17647058823529413,0.0,0.5882352941176471,0.35294117647058826,0.623544324916315,6.4,-39.0,75.0
